company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error
1,9035,in_invoice,S/FRA/2022/0903,2022-246,"",sent,""
1,9036,in_invoice,S/FRA/2022/0936,22000866,"",sent,""
1,9039,in_invoice,S/FRA/2022/0935,022270,"",sent,""
1,9040,in_invoice,S/FRA/2022/0934,3,"",sent,""
1,9043,in_invoice,S/FRA/2022/0932,2022-249,"",sent,""
1,15127,in_invoice,S/FRA/2023/0981,000298,"",sent,""
1,22018,in_invoice,S/FRA/2024/0984,143/2024,"",sent,""
1,9050,in_invoice,S/FRA/2022/0925,18742201P0227301,"",sent,""
1,9051,in_invoice,S/FRA/2022/0942,215,"",sent,""
1,9054,in_invoice,S/FRA/2022/0923,47/2022,"",sent,""
1,195,in_invoice,S/FRA/2021/0152,3.455/F,"",not_sent,""
1,9055,in_invoice,S/FRA/2022/0922,209/2022,"",sent,""
1,9056,in_invoice,S/FRA/2022/0921,210/2022,"",sent,""
1,9058,in_invoice,S/FRA/2022/0920,207/2022,"",sent,""
1,9059,in_invoice,S/FRA/2022/0919,212/2022,"",sent,""
1,9060,in_invoice,S/FRA/2022/0918,208/2022,"",sent,""
1,9061,in_invoice,S/FRA/2022/0917,02-2022,"",sent,""
1,9062,in_invoice,S/FRA/2022/0916,193/2022,"",sent,""
1,9063,in_invoice,S/FRA/2022/0915,211/2022,"",sent,""
1,9064,in_invoice,S/FRA/2022/0914,D22 446,"",sent,""
1,9065,in_invoice,S/FRA/2022/0913,005,"",sent,""
1,9068,in_invoice,S/FRA/2022/0911,5.824,"",sent,""
1,9069,in_invoice,S/FRA/2022/0910,5.823,"",sent,""
1,9070,in_invoice,S/FRA/2022/0909,5.822,"",sent,""
1,9077,in_invoice,S/FRA/2022/0943,05/2022,"",sent,""
1,9080,in_invoice,S/FRA/2022/0957,2221248,"",sent,""
1,16626,in_invoice,S/FRA/2024/0075,000D004211,"",sent,""
1,9085,in_invoice,S/FRA/2022/0953,09/2022,"",sent,""
1,9088,in_invoice,S/FRA/2022/0952,3919,"",sent,""
1,9092,in_invoice,S/FRA/2022/0951,18742201P0087513,"",sent,""
1,9093,in_invoice,S/FRA/2022/0950,N220035783,"",sent,""
1,9094,in_invoice,S/FRA/2022/0949,004,"",sent,""
1,9096,in_invoice,S/FRA/2022/0945,124/2022,"",sent,""
1,9097,in_invoice,S/FRA/2022/0944,LD 11/22,"",sent,""
1,9098,in_invoice,S/FRA/2022/0947,2,"",sent,""
1,9099,in_invoice,S/FRA/2022/0946,22223,"",sent,""
1,9103,in_invoice,S/FRA/2022/0959,FRO20222404090,"",sent,""
1,9104,in_invoice,S/FRA/2022/0958,221264,"",sent,""
1,9105,in_invoice,S/FRA/2022/0971,221/2022,"",sent,""
1,9107,in_invoice,S/FRA/2022/0968,2,"",sent,""
1,9109,in_invoice,S/FRA/2022/0969,7616/22,"",sent,""
1,9110,in_invoice,S/FRA/2022/0966,0283/22,"",sent,""
1,9111,in_invoice,S/FRA/2022/0960,AF/1708/02,"",sent,""
1,9112,in_invoice,S/FRA/2022/0961,AF/1709/01,"",sent,""
1,9115,in_invoice,S/FRA/2022/0965,F/22557,"",sent,""
1,9117,in_invoice,S/FRA/2022/0964,G 178-22,"",sent,""
1,9118,in_invoice,S/FRA/2022/0963,39/2022,"",sent,""
1,9120,in_invoice,S/FRA/2022/0980,A/506,"",sent,""
1,9132,in_invoice,S/FRA/2022/0979,22/046,"",sent,""
1,9144,in_invoice,S/FRA/2022/0974,6.107A,"",sent,""
1,9147,in_invoice,S/FRA/2022/0981,195/2022,"",sent,""
1,18,in_invoice,S/FRA/2021/0001,2.622/F,"",not_sent,""
1,19,in_invoice,S/FRA/2021/0028,9216100006,"",not_sent,""
1,20,in_invoice,S/FRA/2021/0029,9216100005,"",not_sent,""
1,487,in_invoice,S/FRA/2021/0319,AF/1360/01,"",sent,""
1,488,in_invoice,S/FRA/2021/0320,AF/0860/01,"",sent,""
1,489,in_invoice,S/FRA/2021/0321,AF/1362/01,"",sent,""
1,490,in_invoice,S/FRA/2021/0322,AF/1010/01,"",sent,""
1,491,in_invoice,S/FRA/2021/0323,AF/1363/01,"",sent,""
1,492,in_invoice,S/FRA/2021/0324,AF/1364/01,"",sent,""
1,493,in_invoice,S/FRA/2021/0325,AF/1366/01,"",sent,""
1,495,in_invoice,S/FRA/2021/0327,AF/1368/01,"",not_sent,""
1,498,in_invoice,S/FRA/2021/0330,AF/0869/01,"",sent,""
1,499,in_invoice,S/FRA/2021/0331,AF/1371/01,"",sent,""
