id,company_id,move_type,name,ref,src_state,aeat_send_error
24291,1,in_invoice,S/FRA/2025/0367,TB-2025-F 42,sent,"{
    'CSV': 'D3SCL864C3GBFFZN',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24474,1,in_invoice,S/FRA/2025/0365,167036,sent,"{
    'CSV': 'HTM6BA4T7YNBFQAQ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24475,1,in_invoice,S/FRA/2025/0364,40,sent,"{
    'CSV': 'FWBYAS8L973SJ77B',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24476,1,in_invoice,S/FRA/2025/0363,9/2025,sent,"{
    'CSV': '63ATGAXPENFH9D2P',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24483,1,in_invoice,S/FRA/2025/0362,25/118,sent,"{
    'CSV': 'JMPZRZGNEG8STU8W',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24484,1,in_invoice,S/FRA/2025/0361,F922519,sent,"{
    'CSV': 'L5SWGHUSNDT63BBD',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24485,1,in_invoice,S/FRA/2025/0360,125003467,sent,"{
    'CSV': 'ZDHRF6ZBMRH6BSCM',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24490,1,in_invoice,S/FRA/2025/0359,10/2025,sent,"{
    'CSV': 'CHYSW7GJZQD7HFXK',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24491,1,in_invoice,S/FRA/2025/0358,11/2025,sent,"{
    'CSV': 'C2W96SH3J4AXTT9G',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24501,1,in_invoice,S/FRA/2025/0357,ZEN-7665,sent,"{
    'CSV': 'RKM9CPCNW9CAJZ58',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24502,1,in_invoice,S/FRA/2025/0356,22150,sent,"{
    'CSV': 'L7GDSD75V8EJVJDU',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24514,1,in_invoice,S/FRA/2025/0355,FA25/349,sent,"{
    'CSV': 'R8RGJPJHHRYX3UTH',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24515,1,in_invoice,S/FRA/2025/0354,A250000098,sent,"{
    'CSV': 'DUEQAK6FLJVTFNAD',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24516,1,in_invoice,S/FRA/2025/0353,2025012612,sent,"{
    'CSV': 'DCKBWJA59EFXJ98C',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24517,1,in_invoice,S/FRA/2025/0352,040/333215,sent,"{
    'CSV': 'CDE4AWD5FMNXZMCQ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24518,1,in_invoice,S/FRA/2025/0351,09425003873,sent,"{
    'CSV': 'DVMSXMCLW6GWGW72',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24519,1,in_invoice,S/FRA/2025/0350,01/2025,sent,"{
    'CSV': 'Z8DW42BKF4MEV6MQ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
23836,1,in_invoice,S/FRA/2025/0349,00101/57742,sent,"{
    'CSV': 'WBPP4KRRYJ5EVL4J',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24286,1,in_invoice,S/FRA/2025/0348,ES53OJYABEY,sent,"{
    'CSV': 'DNAFBVGN366LCZ39',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24340,1,in_invoice,S/FRA/2025/0347,1TSN250500441277,sent,"{
    'CSV': '9YBH5UPPL8WFZH6V',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24357,1,in_invoice,S/FRA/2025/0346,8/2025,sent,"{
    'CSV': 'CL8462ZBU6PJYWGY',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24287,1,in_invoice,S/FRA/2025/0345,25/11,sent,"{
    'CSV': 'EETUR5CD3T4Z6TAG',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24288,1,in_invoice,S/FRA/2025/0344,25/12,sent,"{
    'CSV': '8UHEC5X7CSJH2VM6',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24290,1,in_invoice,S/FRA/2025/0343,25/6,sent,"{
    'CSV': 'RBMJTSHC93WGFNSX',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24292,1,in_invoice,S/FRA/2025/0342,18-2025,sent,"{
    'CSV': 'W9PNQBXDVT9BJSP3',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24293,1,in_invoice,S/FRA/2025/0341,19-2025,sent,"{
    'CSV': '4C9XSUEZS3X629XY',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24338,1,in_invoice,S/FRA/2025/0340,21/2025,sent,"{
    'CSV': 'QURX7ABYRS4TD3WH',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24339,1,in_invoice,S/FRA/2025/0339,18742501P0117612,sent,"{
    'CSV': 'CDPTTN3V3W7DWQZZ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24341,1,in_invoice,S/FRA/2025/0338,1NSN250500529570,sent,"{
    'CSV': 'FBSGQQ75WAAC9NG9',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24342,1,in_invoice,S/FRA/2025/0337,R-11275,sent,"{
    'CSV': 'WUNTP7EFX324B25Z',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24354,1,in_invoice,S/FRA/2025/0336,FM25-1093,sent,"{
    'CSV': 'B3ZNVS72SK96NQ5B',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24355,1,in_invoice,S/FRA/2025/0335,A2503438,sent,"{
    'CSV': 'D2VBB7R7W2M54PXF',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24356,1,in_invoice,S/FRA/2025/0334,3367162,sent,"{
    'CSV': 'D4HCGK3FTJYQVF8X',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24376,1,in_invoice,S/FRA/2025/0333,635-2025,sent,"{
    'CSV': 'ZM6AQGUKV9XZME55',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24377,1,in_invoice,S/FRA/2025/0332,FRO20250890400,sent,"{
    'CSV': 'M7XYFN6JYZQMXD42',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24408,1,in_invoice,S/FRA/2025/0331,000152,sent,"{
    'CSV': 'KLPW3P8KMMJVBJYS',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24409,1,in_invoice,S/FRA/2025/0330,A 2594,sent,"{
    'CSV': 'WTSDRGWVRBH9SZPW',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24415,1,in_invoice,S/FRA/2025/0329,F0025-0382,sent,"{
    'CSV': 'EDNRK4ASWD5LWQHU',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24416,1,in_invoice,S/FRA/2025/0328,000D009011,sent,"{
    'CSV': 'F7JTHAXB9SPPTL98',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24417,1,in_invoice,S/FRA/2025/0327,000D009013,sent,"{
    'CSV': '3NJ95ZW5NAVH4YCD',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24418,1,in_invoice,S/FRA/2025/0326,000G009143,sent,"{
    'CSV': 'C9D8N6YZXRAUASFR',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24438,1,in_invoice,S/FRA/2025/0325,1NSN250600104453,sent,"{
    'CSV': 'LKVFBG9MACHHPEKA',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24439,1,in_invoice,S/FRA/2025/0324,1NSN250600157490,sent,"{
    'CSV': 'V3KQ545SZE3L8R7Z',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
