move_id,name,ref,payment_reference,company_id,sii_state,src_state,aeat_send_error
150,S/FRA/2021/0199,21/225,,1,not_sent,not_sent,
20679,S/FRA/2024/0726,00001TB221376,,1,sent,sent,
151,S/FRA/2021/0200,21/266,,1,not_sent,not_sent,
192,S/FRA/2021/0170,21/18,,1,not_sent,not_sent,
154,S/FRA/2021/0208,005-A21-003838,,1,not_sent,not_sent,
157,S/FRA/2021/0211,A-440,,1,not_sent,not_sent,
5901,S/FRA/2022/0299,129,,1,sent,sent,
167,S/FRA/2021/0223,21/00437,NEXT,1,not_sent,not_sent,
162,S/FRA/2021/0217,1HSN210500411886,,1,not_sent,not_sent,
171,S/FRA/2021/0227,21/298,,1,not_sent,not_sent,
173,S/FRA/2021/0229,21/297,,1,not_sent,not_sent,
175,S/FRA/2021/0231,21/299,,1,not_sent,not_sent,
181,S/FRA/2021/0113,21/160,,1,not_sent,not_sent,
182,S/FRA/2021/0114,21/159,,1,not_sent,not_sent,
183,S/FRA/2021/0140,21/19,,1,not_sent,not_sent,
5966,S/FRA/2022/0315,20210550,,1,sent,sent,
184,S/FRA/2021/0141,21/16,,1,not_sent,not_sent,
185,S/FRA/2021/0142,21/15,,1,not_sent,not_sent,
186,S/FRA/2021/0174,21/10,,1,not_sent,not_sent,
187,S/FRA/2021/0168,21/14,,1,not_sent,not_sent,
193,S/FRA/2021/0175,21/9,,1,not_sent,not_sent,
219,S/FRA/2021/0111,621/F,,1,not_sent,not_sent,
239,S/FRA/2021/0149,A-73,,1,not_sent,not_sent,
19632,S/FRA/2024/0438,1114,,1,sent,sent,
282,S/FRA/2021/0172,21/12 (CORREGIR),,1,not_sent,not_sent,
327,S/FRA/2021/0245,INV91794032,,1,not_sent,not_sent,
317,S/FRA/2021/0235,1HSN210600086216,,1,not_sent,not_sent,
335,S/FRA/2021/0253,21/368,,1,not_sent,not_sent,
336,S/FRA/2021/0254,21/366,,1,not_sent,not_sent,
337,S/FRA/2021/0255,21/365,,1,not_sent,not_sent,
21365,S/FRA/2024/0932,102,,1,sent,sent,
18448,S/FRA/2024/0287,68/2024,,1,sent,sent,
21055,S/FRA/2024/0771,28/2024,,1,sent,sent,
338,S/FRA/2021/0256,21/364,,1,not_sent,not_sent,
21909,S/FRA/2024/0994,1,,1,sent,sent,
5954,S/FRA/2022/0324,11-21-600-00041,,1,sent,sent,
431,S/FRA/2021/0264,191/2021,,1,not_sent,not_sent,
5969,S/FRA/2022/0321,00001TB168622,,1,sent,sent,
437,S/FRA/2021/0270,A-684,,1,not_sent,not_sent,
18277,S/FRA/2024/0265,57/2024,,1,sent,sent,
438,S/FRA/2021/0271,A-775,,1,not_sent,not_sent,
5949,S/FRA/2022/0308,V.8 211022/4,,1,sent,sent,
439,S/FRA/2021/0272,A-825,,1,not_sent,not_sent,
460,S/FRA/2021/0293,A000029277,,1,not_sent,not_sent,
5951,S/FRA/2022/0306,V.3 211018-270,,1,sent,sent,
25452,/,,,1,not_sent,not_sent,
16658,S/FRA/2024/0062,153816,,1,sent,sent,
16628,S/FRA/2024/0073,000G004933,,1,sent,sent,
21884,S/FRA/2024/0998,MV-35472,,1,sent,sent,
16409,S/FRA/2024/0124,INV-071177,,1,sent,sent,
9485,S/FRA/2023/0044,TRK-23-0049,,1,sent,sent,
9486,S/FRA/2023/0045,TRK-23-0050,,1,sent,sent,
18660,S/FRA/2024/0349,2612313,,1,sent,sent,
18462,S/FRA/2024/0302,2558258,,1,sent,sent,
18275,S/FRA/2024/0263,16/2024,,1,sent,sent,
20624,S/FRA/2024/0750,24-0038,,1,sent,sent,
16558,S/FRA/2024/0096,18742401P0017329,,1,sent,sent,
18240,S/FRA/2024/0254,OO/2024/001,,1,sent,sent,
18995,S/FRA/2024/0341,2665897,,1,sent,sent,
18173,S/FRA/2024/0252,Q240014708,,1,sent,sent,
18855,S/FRA/2024/0317,97/2024,,1,sent,sent,
16465,S/FRA/2024/0135,ES49DOABEY,,1,sent_modified,sent_modified,
16617,S/FRA/2024/0085,79-2024,,1,sent,sent,
19254,S/FRA/2024/0401,2723543,,1,sent,sent,
18840,S/FRA/2024/0316,84/2024,,1,sent,sent,
18276,S/FRA/2024/0264,34/2024,,1,sent,sent,
18261,S/FRA/2024/0259,224199,,1,sent,sent,
16594,S/FRA/2024/0090,FM24-50,,1,sent,sent,
19701,S/FRA/2024/0462,2779783,,1,sent,sent,
16624,S/FRA/2024/0077,24/10,,1,sent_modified,sent_modified,
16625,S/FRA/2024/0076,24/11,,1,sent_modified,sent_modified,
9487,S/FRA/2023/0049,TRK-23-0051,,1,sent,sent,
20093,S/FRA/2024/0555,FRO20241655707,,1,sent,sent,
4264,S/FRA/2022/0236,A000030375,,1,sent,sent,
16627,S/FRA/2024/0074,000G004932,,1,sent,sent,
19062,S/FRA/2024/0386,Q240029312,,1,sent,sent,
18203,S/FRA/2024/0241,18742401P0064493,,1,sent,sent,
20002,S/FRA/2024/0539,18742401P0226262,,1,sent,sent,
18445,S/FRA/2024/0284,2/2024,,1,sent_modified,sent_modified,
5896,S/FRA/2022/0288,4675F21,,1,sent,sent,
21157,S/FRA/2024/0817,7.011,,1,sent,sent,
20068,S/FRA/2024/0749,FO4/1675,,1,sent,sent,
20076,S/FRA/2024/0559,24/563,,1,sent,sent,
21254,S/FRA/2024/0830,2894329,,1,sent,sent,
149,S/FRA/2021/0198,A-316,,1,not_sent,not_sent,
169,S/FRA/2021/0225,001G000122,,1,not_sent,not_sent,
170,S/FRA/2021/0226,001D000083,,1,not_sent,not_sent,
177,S/FRA/2021/0136,282/F,,1,not_sent,not_sent,
203,S/FRA/2021/0102,A000028701,,1,not_sent,not_sent,
196,S/FRA/2021/0154,3.082/F,,1,not_sent,not_sent,
21666,S/FRA/2024/0914,A2408605,,1,sent,sent,
23984,S/FRA/2025/0315,10/25,,1,sent,sent,
19072,S/FRA/2024/0388,24-001,,1,sent,sent,
11483,S/FRA/2023/0248,A000031309,,1,sent,sent,
19649,S/FRA/2024/0505,FM24-1968,,1,sent,sent,
6397,S/FRA/2022/0372,31-0,,1,sent,sent,
3060,S/FRA/2021/0630,A000029953,,1,sent,sent,
283,S/FRA/2021/0178,420,,1,not_sent,not_sent,
21107,S/FRA/2024/0780,FM24-2554,,1,sent,sent,
3901,S/FRA/2022/0051,A000030174,,1,sent,sent,
6359,S/FRA/2022/0397,09422000581,,1,sent,sent,
19491,S/FRA/2024/0432,18742401P0210025,,1,sent,sent,
329,S/FRA/2021/0247,652210100,,1,not_sent,not_sent,
19400,S/FRA/2024/0414,A/FA00416,,1,sent,sent,
16677,S/FRA/2024/0034,02/2024,,1,sent,sent,
483,S/FRA/2021/0316,142/2021,,1,not_sent,not_sent,
485,S/FRA/2021/0318,5211,,1,not_sent,not_sent,
484,S/FRA/2021/0317,A000029465,,1,not_sent,not_sent,
23913,S/FRA/2025/0247,25-030241,,1,sent,sent,
18658,S/FRA/2024/0339,2.244/F,,1,sent,sent,
19144,S/FRA/2024/0393,110-2024,,1,sent,sent,
23877,S/FRA/2025/0248,3229640,,1,sent,sent,
496,S/FRA/2021/0328,AF/1369/01,,1,not_sent,not_sent,
19952,S/FRA/2024/0524,119-2024,,1,sent,sent,
21726,S/FRA/2024/0940,17-2024,,1,sent,sent,
5905,S/FRA/2022/0276,11184,,1,sent,sent,
21810,S/FRA/2024/0949,24/333,,1,sent,sent,
21811,S/FRA/2024/0948,24/334,,1,sent_modified,sent_modified,
19030,S/FRA/2024/0358,24/288,,1,sent,sent,
18577,S/FRA/2024/0311,OVIE-240247,,1,sent,sent,
22396,S/FRA/2024/1038,11426/24,,1,sent,sent,
18854,S/FRA/2024/0322,15/2024,,1,sent,sent,
23854,S/FRA/2025/0251,ES52DDTABEY,,1,sent,sent,
20444,S/FRA/2024/0677,AF/1756/03,,1,sent,sent,
23171,S/FRA/2025/0129,FO5/179,,1,sent,sent,
21966,S/FRA/2024/0958,AF/3074/01,,1,sent,sent,
14213,S/FRA/2023/0873,FA2300308,,1,not_sent,not_sent,3000 | Factura duplicada
19505,S/FRA/2024/0433,4TM00124112,,1,sent,sent,
14216,S/FRA/2023/0870,FA2310634,,1,not_sent,not_sent,3000 | Factura duplicada
19463,S/FRA/2024/0416,5/2024,,1,sent,sent,
14218,S/FRA/2023/0867,FA2310635,,1,not_sent,not_sent,3000 | Factura duplicada
14215,S/FRA/2023/0871,FA2300316,,1,not_sent,not_sent,3000 | Factura duplicada
6355,S/FRA/2022/0395,119152,,1,sent,sent,
6352,S/FRA/2022/0398,0187-02-22006798,,1,sent,sent,
23271,S/FRA/2025/0081,FA 250097,,1,sent,sent,
6379,S/FRA/2022/0389,906,,1,sent,sent,
5892,S/FRA/2022/0278,00001TB166657,,1,sent,sent,
14266,S/FRA/2023/0600,ES1AISKAEUI,,1,sent,sent,
5902,S/FRA/2022/0267,011T/84.873,,1,sent,sent,
24184,S/FRA/2025/0319,6/2025,,1,sent,sent,
23496,S/FRA/2025/0201,0781880106074,,1,sent,sent,
23279,S/FRA/2025/0073,FM25-43,,1,sent,sent,
19787,S/FRA/2024/0479,092024,,1,sent,sent,
22672,S/FRA/2025/0043,2024000918,,1,sent,sent,
14258,S/FRA/2023/0723,INV-ES-999004995-2022-646,,1,not_sent,not_sent,3000 | Factura duplicada
22418,S/FRA/2024/1055,FA 243191,,1,sent,sent,
19461,S/FRA/2024/0417,ES43LRWABEY,,1,sent,sent,
19506,S/FRA/2024/0435,TB-2024-F 26,,1,sent,sent,
23280,S/FRA/2025/0072,FM25-108,,1,sent,sent,
18260,S/FRA/2024/0260,240401,,1,sent,sent,
20078,S/FRA/2024/0557,24/565,,1,sent,sent,
23281,S/FRA/2025/0071,530/25,,1,sent,sent,
21316,S/FRA/2024/0847,D24 502,,1,sent,sent,
20503,S/FRA/2024/0711,8-2024,,1,sent,sent,
20282,S/FRA/2024/0567,OO/2024/012,,1,sent,sent,
21177,S/FRA/2024/0821,A324621,,1,sent,sent,
21122,S/FRA/2024/0810,11-2024,,1,sent,sent,
23819,S/FRA/2025/0244,2025-35,,1,sent,sent,
18666,S/FRA/2024/0335,T/848/2024,,1,sent,sent,
18446,S/FRA/2024/0285,1/2024,,1,sent_modified,sent_modified,
22032,S/FRA/2024/0973,TB-2024-F 59,,1,sent,sent,
21596,S/FRA/2024/0869,012-24/25,,1,sent,sent,
21133,S/FRA/2024/0774,2024/006,,1,sent,sent,
20072,S/FRA/2024/0546,24/559,,1,sent,sent,
